"X","tweet","date","DailyChange","toneofdocument"
48,"should i bring spare engine i mean case sure i like movie dirt there internal goal thing go right need aggressive obviously thing go right internally external issue that say i think stack orbital ship orbital booster when engine arrive unfortunately launch call today aircraft enter keep zone unreasonably gigantic there simply way humanity become civilization without major regulatory reform the current regulatory system broken sonic boom incoming top safety pick that high overall rating think get score individual test month improve the improve car computer","2021-06-29",-0.0015,0.142857142857143
49,"yeah work need flight less less show shortening time require work flight starship super heavy zero you notice several improvement rapidly rocket r r r we already do lot iteration ship for rapid booster must return inert mass impact ascent land burn triple also booster flight rate ship multiple mass cost first one fly booster booster use ground test we change much design booster hard build expect especially rapid evolution first booster first ship great shot starship super heavy entry burn delta v shift ship booster entry q heat low basic easy sound good high resolution short time weak magnetic field hard actually almost liquid oxygen","2021-06-30",0.0062,0.333333333333333
50,"what well understood ula still monopoly carve u government launch allow compete cost taxpayer twice much per launch this obviously real competition your company say exact opposite get sole source dod launch contract in event expendable rocket relevant future expendable aircraft rapidly rocket matter true will look pretty wild ship top super heavy road tower segment add","2021-07-01",0.0016,0.6
51,"","2021-07-06",0.0071,NA
52,"expect rapid improvement pure vision bear parent yes and production exceed mass universe yeah would cool also use ship structure new giant telescope hubble resolution be talk awesome suggest want supersonic shock wave we could stretch falcon heavy upper stage increase lot already cover known starship especially orbital refill dedicate deep space variant header tank take order magnitude absolutely staggeringly insane amount work high re land falcon land video jeff accurate show falcon heavy address use case work son roof great collaboration accelerate solar roof installation this lot work ten million home need solar roof if roofing company please consider add solar roof offering","2021-07-07",-0.0253,0.571428571428571
53,"maybe movie gaslit u listen history tropic thunder good gas lit gas light that impression travel another planet build self sustain city faint heart consider sad case chad rip but also this true duelist i sometimes optimistic schedule this sound like potential go wrong i refer reuse code true","2021-07-08",6e-04,-0.142857142857143
54,"buzz corp make interest idea not yet it need full self drive corporate speak human it true x toddler never say sell exactly","2021-07-12",9e-04,NA
55,"g booster half cost mission fair any money transmitter license need use g take work make booster reuse cost effective go recover first place this important point thing finally click place block my hat everyone space force supplier help make happen i actually year old risk immodest i think i look good even year still original chariot license papyrus","2021-07-13",0.0033,0.5
56,"review model s plaid dan yeah some light read x due lack bang civilization might end whimper adult diaper sale growth much high baby diaper sale growth this major problem between civilization end bang whimper trend suggest latter congratulation doge southern next baby girl doge southern me i try set good example population collapse much big problem people realize earth mar great need people see population currently zero human life earth let u bring life mar preachy spice it rental house overall great i agree regard cabinet this day flight expect brutal pic post oh well indeed sigh","2021-07-14",0.0077,-0.2
57,"yes beta use pure vision production code highway drive beta hopefully beta definitely use one stack rule city streets highway complex park lot how camera link in end kept production design almost exactly show car just small tweak make slightly good no door handle car recognize open door have four wheel steer amaze nimble handle tight turn version team great work will epic see deep sea oil rig convert ocean starship to frank always chance flop unlike anything else i care i love much even other truck look like copy thing look like make alien future taper charge rate simply physical thing happen lithium ion bounce around increasingly full parking lot just like car parking lot take long find spot lot almost full","2021-07-15",0.0063,0.818181818181818
58,"jack sure i ton jack during talk sing cover the final","2021-07-19",0.0089,NA
59,"over time country we create connector standard back maker long range electric car it one fairly slim connector low high power charge that say make supercharger network open later year","2021-07-20",-0.0013,1
60,"seriously negative nominal interest rate what world come delta v but much important design capable full rapid long way go design make actually fully rapidly high least success one possible outcome dry electrode key piece one many piece puzzle lower cost lithium battery that say require immense amount engineering take maxwell proof concept high quality volume production still quite do indeed i one point go high energy density capacitor use electric vehicle but lithium ion cover even advance lithium ion technology possible transition earth sustainable energy","2021-07-21",0.0018,0.714285714285714
61,"flight test show could make body flap narrower light win also last much long normal roof able withstand hail medium size impact","2021-07-22",-0.0045,0.333333333333333
62,"ship probably fine iron cell aircraft need high energy density good range i say aircraft hand full car solar battery power generation energy density need aircraft indeed","2021-07-26",0.0088,1
63,"engineer fee i already chew much glass i chipmunk cheek engineer fee i die supersonic electric jet but i already way much plate any work brain explode truth that low bar never value engineering highly although try change i personally write year huge respect engineer par best company leader real world ai truth team excellent even compare best company this big deal car much computer wheel","2021-07-27",0.0034,0.428571428571429
64,"at point count atom dispense we many close tower team support contractor orbital precession take long time with starship hopefully direct inject target orbit","2021-07-28",0.0043,1
65,"mass orbit fundamental metric make life matter one starship lift falcon single flight wow indeed giant mosquito around so many tube raptor major improvement also increase thrust ton ton long term goal engine cost ton thrust and primary fuel line the maze secondary plumbing wire great concern yeah team crank hard i mean course complete feed system raptor rocket engine super heavy booster win sh feel long ago true i talk friend electric car constantly college peter j beck congratulation","2021-07-29",-0.0083,0.5
66,"stem fee that right civilization power small earth solar panel hard believe year already those goal actually precede creation many year go back probably i college however time i think chance achieve goal low i ask reporter i optimistic pessimistic future that answer extremely tough year every level it difficult","2021-08-02",0.0131,0
67,"mar look amazing we steal idea karate pitch control require force yaw much force roll also grid fin closer wake booster less effective however pretty good aero control technically achieve grid fin effect accuracy thank sandy super heavy booster move orbital launch mount very close real arm able move descent match exact booster position catch point side case catch want hit launch mount booster transfer back launch mount next flight design hour turnaround","2021-08-03",0.0018,0.5
68,"id aa i great admiration engineering ability what armadillo incredible i try convince many time join always decline sigh future rocket quite ready yet move rocket orbital launch pad","2021-08-04",0.0071,0.6
69,"reality total opposite detractor say big challenge recruit enough people build car bay area essentially negative unemployment people factory several job offer if treat well would leave immediately once operational wind rarely issue wind high today look like wind speed low enough stack early tomorrow morning remain tile way irony indeed aim stack ship booster today","2021-08-05",-0.0038,0.142857142857143
70,"believe future","2021-08-09",3e-04,NA
71,"yeah important bear mind production fast slow part unique part car","2021-08-10",0.0038,0.333333333333333
72,"i recommend get first plant work it insanely difficult reach volume production affordable unit cost it gon na awesome","2021-08-11",-0.0021,0.333333333333333
73,"the stay power bad idea astonish note refill refuel propellant liquid oxygen fuel","2021-08-12",0.002,0
74,"no bottom static aero push engine section back counteract starship low center mass cause engine section aim deg angle attack high heat portion flight don want engine blast plasma zone astronomy low center mass bit like ship booster same engineer fee probably slightly forward small inward no funny look static aero top static aero longer directly flow","2021-08-18",-0.0156,-0.428571428571429
75,"our license application pending many country hop serve earth soon ancient doge now serve terminal ship nine ring mortal men beta actually great autopilot ai team rally improve fast possible we try single stack highway city street require massive retrain the gun august it basically plot new there profound difference single planet specie if able visit star one day may discover many long dead single planet civilization to extend light consciousness","2021-08-23",0.0062,0.333333333333333
76,"nothing perfect it amazing standard aim safe average human driver can wait new high bay","2021-08-24",-0.0021,1
77,"nice we beta go week point release week it completely retrain need another week tune bug fix best guess public beta button week","2021-08-25",-0.0041,0.333333333333333
78,"our intent pack product experience roughly equivalent nickel iron i personally slightly opt iron pack want charge whereas nickel","2021-08-26",0.0055,NA
79,"no worry situation control true thank bring expedite service center opening have try mobile service come beta come soon be watch star war bad batch baby x wait season stop projecting","2021-08-30",0.0029,-0.333333333333333
80,"just figure regulatory approval process","2021-08-31",-0.0022,1
81,"i berlin paint shop talk team last visit it gon na great but bear mind take year new factory reach volume production production super hard work i great respect they shake fist sky our new crane year super crazy supply chain shortage matter new product none would ship assume drama new roadster ship research space station great shot maybe head space laser technically data packet need touch regular data flow user terminal satellite user terminal our satellite launch next month inter satellite laser link local need probably active month file legal action actually full time job he consider spend money actual lunar lander hardware instead shady lobbyist","2021-09-01",6e-04,0.0769230769230769
82,"i ur welcome nice human smoke ham good progress apply information theory currency information low fee reduce noise faster consistent sync time improve latency jitter the robot come anyway boston dynamic clearly show i able ensure robot make company safe i try best in general i believe government rarely impose upon people aspire maximize cumulative happiness that say i would prefer stay politics","2021-09-02",-2e-04,0.473684210526316
83,"thanks what favorite tea and work gon na sue death","2021-09-07",0.0115,0
84,"that sum well","2021-09-08",-6e-04,1
85,"track update probably week away i know i know also thing good third party shop next modify plaid add aero surface carbon brake track tire thing do without loop model s plaid set official world speed record production electric car completely unmodified directly factory maybe dot product","2021-09-09",0.0063,1
86,"it hard overstate criticality rocket no less important aircraft car bicycle essential humanity become specie backup biosphere","2021-09-14",7e-04,-0.333333333333333
87,"rip sir i love computer just speak crew all well mission like help advance enable ultimately anyone go orbit beyond jack that safe word maneuverability important safety thanks thank","2021-09-16",2e-04,0.714285714285714
88,"yet decide fourth location","2021-09-20",0.0063,NA
89,"good point could enable visualization control will enable option hopefully next month solve last cone issue","2021-09-21",0.0056,0
90,"so pointy super important doge fee drop make thing like buy movie viable truth berlin help lot that would break budget ai use last year birth rate collapse big threat human civilization we always flight readiness review this argument make sense truth logistics truth exactly shanghai make car export first half quarter car far away part china car nearby part china net result crazy wave delivery end quarter it tough team hop reduce wave","2021-09-22",0.0041,0
91,"if tile super thin get hot plasma edge tile create that say i entirely convince do several overlap scale metal sheet insulator scale armor primary structure head tank vent knock tile peak option package peak of course","2021-09-27",-0.0053,-0.2
92,"hamster mad this serious concern","2021-09-28",0.0029,-1
93,"great work no guarantee i think this big part i mean long term competitive advantage manufacture technology verge sue allow compete bo sue stop competition maxwell incredible really","2021-09-29",-4e-04,0.5
94,"hello space station great pic that wave","2021-09-30",0.0038,1
95,"this extremely difficult huge prop engineering supply chain production key supplier","2021-10-04",0.0042,-1
96,"f always pay debt","2021-10-05",-0.0056,-1
97,"i die supersonic electric jet add work make","2021-10-07",0.0033,0
98,"writer all currently show wood clad actually starship hard problem not mention warm latency","2021-10-11",0.0114,-0.5
99,"laser manic marge maybe next week we like get expand beta manic marge always agree try get approval need offer insurance extremely difficult come production supply chain logistics hard","2021-10-12",0.0059,-0.333333333333333
100,"pretty much fan art best improve many people life great game","2021-10-14",0.0066,1
101,"","2021-10-18",0.0085,NA
102,"odd they require law design easy remove owner engineer fee","2021-10-19",0.0012,0
103,"well starship would ton orbit expendable ton fully nod the day go wide release one big asset value increase history full rapid holy grail orbital rocketry most big company tech turned place talent go die","2021-10-20",-0.0113,0.6
104,"this cool beat we","2021-10-21",0.0017,1
105,"i like express appreciation autopilot engineering work round clock weekend resolve problem sorry beta user trouble issue turn power save mode interact our internal fleet see car constantly use rarely enter power save mode internal test case go forward strange move valuation much production ramp problem demand problem wild indeed intend useful advice base extremely painful experience attack way trivial compare scale production supply chain if solve achieve positive gross margin next nightmare start second new vehicle line first work divide resource amplify probability failure hertz that feature come","2021-10-25",-2e-04,-0.473684210526316
106,"i feel like happen time i like avocado toast pro level coffee cuisine amaze job","2021-10-26",0.0208,1
107,"u federal debt climb fast u national debt billion per taxpayer even tax billionaire would make small dent number obviously rest must come general public this basic math spending real problem raj raj you also talk car speaker great practical joke tentative plan start afternoon next week if see concern pause investigate might take day everyone safety get beta leave turn across fast traffic stop gate ai team great work will get superhuman good upcoming release note slow rate release go forward first fleet employee car day slowly release car external beta aft that math incorrect still lot device per second i guess reach car year would one every second accord estimate tax cover trillion spending bill where come the answer if i send doge promise send doge","2021-10-27",0.0293,-0.176470588235294
108,"gateway mar always pay debt cover story tax expert say sure claim unrealized donation legal admit government print fake money tax nonexistent profit nothing real","2021-10-28",0.0045,-1
109,"almost finish j storm steel intense great book it way eventually bit everything true externalize responsibility if able buy absolutely he talk like limited dialogue tree he look good even year old both factory fail shut long ago strange thing brag literally tell real deep fake","2021-11-01",-0.0407,-0.25
110,"how doge he would make great his judgment what right sigh me","2021-11-02",0.0045,1
111,"not yet they post transaction ledger must somewhere and mar true so","2021-11-03",0.0169,-1
112,"seem way publish transaction ledger would clarify matter we post finer grain detail improvement go forward exactly improve memory cause prediction converge reduce jitter writer in future use automatically sync preference","2021-11-04",-0.0016,0.5
113,"really come iron cathode medium range vehicle stationary storage v nickel cathode long range vehicle important the starship fleet design achieve time orbit rocket earth combine almost one true actually ton aim ton that say china launch mass orbit extremely impressive","2021-11-08",0.0092,1
114,"new slogan fight right steal money worker interestingly however average power density sun comparable compost heap human power dense sun big there many good cause main reason accumulate capital the resource i consume personally low space station commercial crew en a describe the moon harsh mistress great book linear accelerator would great moon earth gravity high atmosphere dense accelerator good solution v booster space station commercial crew en still blow mind real","2021-11-10",0.0326,-0.0909090909090909
115,"i hope able achieve high production cash flow that true test there hundred automotive electric combustion reach high volume production positive cash flow past year","2021-11-11",-0.0151,1
116,"business burry broken clock the hard work u fish wildlife park wildlife much appreciate well strong local support county south padre normal money actually bunch ancient run batch mode edit money whenever want exactly yes major source dilution all employee receive stock year employee that loophole seem questionable i majority control first year car company need lots capital i around despite put much i could along way agree tax best apply especially extravagant consumption whereas capital allocation tax reduce good service output actually bad people probable capital allocation skill low original creator i favor estate tax like tax regret his stance bold how know kidnap alien much think fair do seem reasonable","2021-11-15",-0.0099,0.263157894736842
117,"indeed over time generate hundred billion government term employee income tax product sale tax property tax addition profit taxation accurate thread","2021-11-16",0.0083,1
118,"accept bad case outcome assign probability usually low now think good thing life assign probability many certain bring anxiety fear conscious mind sap limbic emotional strength cheery fatalism effective","2021-11-17",0.0161,-0.142857142857143
119,"yes true it great change tune day truth try damn hard kill electric car if competitive pressure would nothing exactly indeed sigh bottom leave rock be real it hard find good source relatively objective news day any suggestion","2021-11-18",0.0023,-0.142857142857143
120,"true and i talk manager the sheer physicality change brain sleep serious neurodegenerative disease much high people realize we need theme party aim international travel restriction lift meant say county sigh airport part require additional federal approval transform it either traffic forever tunnel try first operational tunnel convention center the city approve full tunnel network connect major hotel convention center airport interesting eye long term ship would land tower arm like booster unlikely early ship intact get orbit first try would major win serious allegation deserve serious response","2021-11-22",0.0092,0.25
121,"exactly sigh sound good it simulate anywhere need focus one region beta expand geographically country canada lot different u different enough high performance code c use compiler maximize frame rate we use python custom library fast convert c fast execution new run real world video world simulator evaluate performance i use try one point many hoop jump inconvenience personally just raise issue behalf doge holder our temporal spatial memory surround video auto label back everything knit together c single frame manual still much improve","2021-11-23",-0.0258,0.428571428571429
122,"just drop friend pool humanity shall return oh man year supply chain nightmare i provide product next earnings call reach far post apocalyptic future bring technology intentionally insane technology variable gain steer wire yoke would ideal acid test new interface use week see still want old version after use yoke week i want wheel yoke unobstructed view screen a lot happen year benefit greatly talent it still intense slightly less past","2021-11-29",0.0065,0
123,"the magnitude starship program widely appreciate it design extend life mar moon require time orbit current earth rocket combine yes if severe global recession dry capital availability liquidity lose billion starship bankruptcy still unlikely impossible go last recession only paranoid survive grove the problem need good mental information constantly come u critical first principle think course middle school who write run head be sure actually want it get fix suit need make high volume affordable cost much easy use we shift satellite orbit reduce probability collision not great terrible either station dragon shield ultra high velocity impact absorption suit hence high risk","2021-11-30",0.0139,-0.411764705882353
124,"starship enable quantum leap deep space planetary science exactly","2021-12-01",0.0037,NA
125,"law one side","2021-12-02",2e-04,NA
